snak	n	cum	cump
Q47004387	1	14516	0.9963621387878372
Q47462924	1	14517	0.9964307776786328
Q47529145	1	14518	0.9964994165694282
Q47670178	1	14519	0.9965680554602238
Q499134	1	14520	0.9966366943510193
Q500251	1	14521	0.9967053332418148
Q50118159	1	14522	0.9967739721326103
Q50418136	1	14523	0.9968426110234059
Q51073295	1	14524	0.9969112499142014
Q5116158	1	14525	0.9969798888049969
Q52769526	1	14526	0.9970485276957924
Q5482740	1	14527	0.997117166586588
Q55630100	1	14528	0.9971858054773834
Q56224063	1	14529	0.997254444368179
Q56447380	1	14530	0.9973230832589746
Q5716684	1	14531	0.99739172214977
Q57774874	1	14532	0.9974603610405656
Q57972483	1	14533	0.9975289999313611
Q59212140	1	14534	0.9975976388221567
Q59294814	1	14535	0.9976662777129521
Q59779979	1	14536	0.9977349166037477
Q600751	1	14537	0.9978035554945432
Q613097	1	14538	0.9978721943853387
Q61745762	1	14539	0.9979408332761343
Q64416359	1	14540	0.9980094721669298
Q6491450	1	14541	0.9980781110577253
Q66495020	1	14542	0.9981467499485208
Q7042855	1	14543	0.9982153888393164
Q7063944	1	14544	0.9982840277301119
Q71102034	1	14545	0.9983526666209074
Q71133019	1	14546	0.9984213055117029
Q7156771	1	14547	0.9984899444024985
Q728425	1	14548	0.9985585832932939
Q7313543	1	14549	0.9986272221840895
Q733786	1	14550	0.9986958610748851
Q738142	1	14551	0.9987644999656805
Q7541856	1	14552	0.9988331388564761
Q755070	1	14553	0.9989017777472716
Q7643464	1	14554	0.9989704166380672
Q76928813	1	14555	0.9990390555288626
Q80687	1	14556	0.9991076944196582
Q829020	1	14557	0.9991763333104537
Q829064	1	14558	0.9992449722012492
Q836904	1	14559	0.9993136110920448
Q852389	1	14560	0.9993822499828403
Q88114244	1	14561	0.9994508888736358
Q93469866	1	14562	0.9995195277644313
Q937857	1	14563	0.9995881666552269
Q947873	1	14564	0.9996568055460224
Q96061710	1	14565	0.9997254444368179
Q96943145	1	14566	0.9997940833276134
Q97578346	1	14567	0.999862722218409
Q98833890	1	14568	0.9999313611092044
Q99439671	1	14569	1
