snak	n	cum	cump
Q16021386	3	26032	0.9735592206140843
Q16037036	3	26035	0.9736714162833314
Q16063546	3	26038	0.9737836119525787
Q16258947	3	26041	0.9738958076218258
Q16267607	3	26044	0.974008003291073
Q16529590	3	26047	0.9741201989603201
Q16755977	3	26050	0.9742323946295673
Q1706722	3	26053	0.9743445902988145
Q17351648	3	26056	0.9744567859680616
Q175151	3	26059	0.9745689816373088
Q18242306	3	26062	0.974681177306556
Q18245236	3	26065	0.9747933729758032
Q193364	3	26068	0.9749055686450503
Q207978	3	26071	0.9750177643142974
Q211346	3	26074	0.9751299599835447
Q214917	3	26077	0.9752421556527918
Q21591523	3	26080	0.975354351322039
Q24262584	3	26083	0.9754665469912861
Q2447386	3	26086	0.9755787426605333
Q26271631	3	26089	0.9756909383297805
Q26936818	3	26092	0.9758031339990276
Q28004591	3	26095	0.9759153296682748
Q28319434	3	26098	0.976027525337522
Q28389	3	26101	0.9761397210067692
Q2873500	3	26104	0.9762519166760163
Q322170	3	26107	0.9763641123452634
Q329439	3	26110	0.9764763080145107
Q3391743	3	26113	0.9765885036837578
Q3704253	3	26116	0.976700699353005
Q37987929	3	26119	0.9768128950222521
Q3951423	3	26122	0.9769250906914994
Q4263842	3	26125	0.9770372863607465
Q4504549	3	26128	0.9771494820299936
Q4887411	3	26131	0.9772616776992408
Q548320	3	26134	0.977373873368488
Q56224063	3	26137	0.9774860690377352
Q60441566	3	26140	0.9775982647069823
Q61992319	3	26143	0.9777104603762294
Q65054941	3	26146	0.9778226560454767
Q6606110	3	26149	0.9779348517147238
Q66711686	3	26152	0.978047047383971
Q723682	3	26155	0.9781592430532181
Q728425	3	26158	0.9782714387224654
Q744738	3	26161	0.9783836343917125
Q7501153	3	26164	0.9784958300609596
Q765778	3	26167	0.9786080257302068
Q836904	3	26170	0.978720221399454
Q84321442	3	26173	0.9788324170687012
Q849424	3	26176	0.9789446127379483
Q88110554	3	26179	0.9790568084071954
Q9352089	3	26182	0.9791690040764427
Q947873	3	26185	0.9792811997456898
Q96061710	3	26188	0.979393395414937
Q99439671	3	26191	0.9795055910841841
Q104629540	2	26193	0.9795803881970157
Q104828277	2	26195	0.9796551853098471
Q10509151	2	26197	0.9797299824226785
Q106392835	2	26199	0.9798047795355099
Q106462696	2	26201	0.9798795766483414
Q1113838	2	26203	0.9799543737611728
Q116	2	26205	0.9800291708740043
Q1266283	2	26207	0.9801039679868357
Q12794619	2	26209	0.9801787650996672
Q1308620	2	26211	0.9802535622124986
Q1340643	2	26213	0.98032835932533
Q13416803	2	26215	0.9804031564381614
Q1350189	2	26217	0.980477953550993
Q13590141	2	26219	0.9805527506638244
Q1397808	2	26221	0.9806275477766558
Q1424605	2	26223	0.9807023448894873
Q14623005	2	26225	0.9807771420023187
Q15143191	2	26227	0.9808519391151501
Q1524582	2	26229	0.9809267362279817
Q15319501	2	26231	0.9810015333408131
Q15627169	2	26233	0.9810763304536445
Q157798	2	26235	0.9811511275664759
Q15839206	2	26237	0.9812259246793074
Q15949613	2	26239	0.9813007217921388
Q161944	2	26241	0.9813755189049703
Q16271428	2	26243	0.9814503160178017
Q16323111	2	26245	0.9815251131306332
Q16825962	2	26247	0.9815999102434646
Q191808	2	26249	0.981674707356296
Q1925963	2	26251	0.9817495044691275
Q1968442	2	26253	0.981824301581959
Q1979607	2	26255	0.9818990986947904
Q2000124	2	26257	0.9819738958076218
Q2066131	2	26259	0.9820486929204533
Q222344	2	26261	0.9821234900332847
Q23833535	2	26263	0.9821982871461161
Q23835475	2	26265	0.9822730842589477
Q24040377	2	26267	0.9823478813717791
Q2405480	2	26269	0.9824226784846105
Q2443377	2	26271	0.9824974755974419
Q2468727	2	26273	0.9825722727102734
Q24716636	2	26275	0.9826470698231048
Q2504617	2	26277	0.9827218669359363
Q267640	2	26279	0.9827966640487678
Q270141	2	26281	0.9828714611615992
